stock_code,fiscal_year,seed_tfidf_E,seed_tfidf_S,seed_tfidf_G,expanded_tfidf_S,expanded_tfidf_G,g_signal_ratio,esg_signal_ratio,total_tokens,log_tokens,specificity,cosine_E,cosine_S,cosine_G,esg_year,esg_grade,esg_grade_num,e_grade_num,s_grade_num,g_grade_num
000020,2022,0.0,0.018197575223124485,0.0210431807675484,0.05947099577043388,0.0210431807675484,0.016699801192842943,0.016302186878727636,2515,7.830425617820331,0.0,0.004090626359254087,0.00977695616721533,0.009705862636609542,2023,C,1,1,2,1
000020,2023,0.0,0.006189771253218518,0.018413089089944726,0.0603620357492077,0.018413089089944726,0.01568477429227238,0.014919663351185922,2614,7.869019376499024,0.0,0.0035793575324305415,0.006853765909681823,0.008492770907441027,2024,C,1,2,2,1
000020,2024,0.0,0.015590390836983515,0.01802830369413608,0.05979056239981723,0.01802830369413608,0.01646542261251372,0.01609952433223564,2733,7.913521017283895,0.0,0.004591886682011841,0.009044935993929411,0.008315294211425005,2025,C,1,2,1,1
000040,2022,0.0,0.009585778997991732,0.0,0.009585778997991732,0.0,0.006264236902050114,0.006264236902050114,1756,7.471363088187097,0.0,0.00570656357308778,0.003899543340493538,0.0,2023,D,0,0,0,0
000040,2023,0.005192501048261377,0.008919392939413955,0.0,0.008919392939413955,0.0,0.005747126436781609,0.006269592476489028,1914,7.557472901614746,0.0,0.007499680333357066,0.003628454124116955,0.0,2024,D,0,0,0,0
000040,2024,0.01139614791692363,0.02129200565780809,0.0,0.02129200565780809,0.0,0.005411255411255411,0.007034632034632035,1848,7.522400231387125,0.0,0.012893247661646116,0.005284103092659168,0.0,2025,D,0,1,0,0
000050,2022,0.011501427550630623,0.036809871000577137,0.0135623411490594,0.036809871000577137,0.0135623411490594,0.013662406346408109,0.015425297487880123,2269,7.727535110475448,0.0,0.002513006185764213,0.012083841152853438,0.0,2023,C,1,1,0,1
000050,2023,0.020355041634272365,0.03012025660929706,0.01249083916733426,0.03012025660929706,0.01249083916733426,0.013452914798206279,0.015083571137382797,2453,7.805474625270857,0.0,0.0034716966356955928,0.01044041504440615,0.0,2024,C,1,1,0,1
000050,2024,0.03616786858800457,0.028716188062791304,0.011908573397762336,0.028716188062791304,0.011908573397762336,0.01184640522875817,0.014297385620915032,2448,7.803435056952168,0.0,0.0066197240468942415,0.007531837021683934,0.0,2025,C,1,1,0,1
000070,2022,0.14590612004568054,0.013333569589874986,0.003227642697702544,0.023058076212027403,0.003227642697702544,0.013701201201201201,0.02177177177177177,5328,8.580918882296782,0.00037537537537537537,0.0626189183822536,0.018163374506446523,0.029191977579247883,2023,B+,3,4,4,3
